Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Vanara Jnana.csproj,File,Vanara Jnana.csproj,,,ColorCode.WinUI 2.0.15,,,,,"ColorCode.WinUI, 2.0.15  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Vanara Jnana.csproj,File,Vanara Jnana.csproj,,,CommunityToolkit.WinUI.UI.Controls.Markdown 7.1.2,,,,,"CommunityToolkit.WinUI.UI.Controls.Markdown, 7.1.2  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Vanara Jnana.csproj,File,Vanara Jnana.csproj,,,Microsoft.Extensions.Caching.Abstractions 11.0.0-rc.1.26425.128,,,,,"Microsoft.Extensions.Caching.Abstractions, 11.0.0-rc.1.26425.128  Recommendation:  Remove Microsoft.Extensions.Caching.Abstractions, and replace with new package Microsoft.Extensions.Caching.Abstractions 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Vanara Jnana.csproj,File,Vanara Jnana.csproj,,,Microsoft.Extensions.Caching.Memory 11.0.0-rc.1.26425.128,,,,,"Microsoft.Extensions.Caching.Memory, 11.0.0-rc.1.26425.128  Recommendation:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.12"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Vanara Jnana.csproj,File,Vanara Jnana.csproj,,,System.Net.Http 4.3.4,,,,,"System.Net.Http, 4.3.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Vanara Jnana.csproj,File,Vanara Jnana.csproj,,,System.Text.RegularExpressions 4.3.1,,,,,"System.Text.RegularExpressions, 4.3.1  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Vanara Jnana.csproj,File,Vanara Jnana.csproj,,,,,,,,Current target framework: net8.0-windows10.0.19041.0 Recommended target framework: net10.0-windows10.0.22000.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Controls\FloatingStatusBar.xaml.cs,115,8,T:Windows.UI.Color,,,,,"return kind switch          {              StatusKind.Error => new SolidColorBrush(Color.FromArgb(255, 180, 40, 40)),              StatusKind.Success => new SolidColorBrush(Color.FromArgb(255, 40, 160, 80)),              StatusKind.Warning => new SolidColorBrush(Color.FromArgb(255, 200, 160, 40)),              _ => (Brush)Application.Current.Resources[""AcrylicBackgroundFillColorDefaultBrush""]          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Controls\FloatingStatusBar.xaml.cs,115,8,T:Windows.UI.Color,,,,,"return kind switch          {              StatusKind.Error => new SolidColorBrush(Color.FromArgb(255, 180, 40, 40)),              StatusKind.Success => new SolidColorBrush(Color.FromArgb(255, 40, 160, 80)),              StatusKind.Warning => new SolidColorBrush(Color.FromArgb(255, 200, 160, 40)),              _ => (Brush)Application.Current.Resources[""AcrylicBackgroundFillColorDefaultBrush""]          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Controls\FloatingStatusBar.xaml.cs,115,8,"M:Windows.UI.Color.FromArgb(System.Byte,System.Byte,System.Byte,System.Byte)",,,,,"return kind switch          {              StatusKind.Error => new SolidColorBrush(Color.FromArgb(255, 180, 40, 40)),              StatusKind.Success => new SolidColorBrush(Color.FromArgb(255, 40, 160, 80)),              StatusKind.Warning => new SolidColorBrush(Color.FromArgb(255, 200, 160, 40)),              _ => (Brush)Application.Current.Resources[""AcrylicBackgroundFillColorDefaultBrush""]          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Controls\FloatingStatusBar.xaml.cs,115,8,T:Windows.UI.Color,,,,,"return kind switch          {              StatusKind.Error => new SolidColorBrush(Color.FromArgb(255, 180, 40, 40)),              StatusKind.Success => new SolidColorBrush(Color.FromArgb(255, 40, 160, 80)),              StatusKind.Warning => new SolidColorBrush(Color.FromArgb(255, 200, 160, 40)),              _ => (Brush)Application.Current.Resources[""AcrylicBackgroundFillColorDefaultBrush""]          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Controls\FloatingStatusBar.xaml.cs,115,8,T:Windows.UI.Color,,,,,"return kind switch          {              StatusKind.Error => new SolidColorBrush(Color.FromArgb(255, 180, 40, 40)),              StatusKind.Success => new SolidColorBrush(Color.FromArgb(255, 40, 160, 80)),              StatusKind.Warning => new SolidColorBrush(Color.FromArgb(255, 200, 160, 40)),              _ => (Brush)Application.Current.Resources[""AcrylicBackgroundFillColorDefaultBrush""]          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Controls\FloatingStatusBar.xaml.cs,115,8,"M:Windows.UI.Color.FromArgb(System.Byte,System.Byte,System.Byte,System.Byte)",,,,,"return kind switch          {              StatusKind.Error => new SolidColorBrush(Color.FromArgb(255, 180, 40, 40)),              StatusKind.Success => new SolidColorBrush(Color.FromArgb(255, 40, 160, 80)),              StatusKind.Warning => new SolidColorBrush(Color.FromArgb(255, 200, 160, 40)),              _ => (Brush)Application.Current.Resources[""AcrylicBackgroundFillColorDefaultBrush""]          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Controls\FloatingStatusBar.xaml.cs,115,8,T:Windows.UI.Color,,,,,"return kind switch          {              StatusKind.Error => new SolidColorBrush(Color.FromArgb(255, 180, 40, 40)),              StatusKind.Success => new SolidColorBrush(Color.FromArgb(255, 40, 160, 80)),              StatusKind.Warning => new SolidColorBrush(Color.FromArgb(255, 200, 160, 40)),              _ => (Brush)Application.Current.Resources[""AcrylicBackgroundFillColorDefaultBrush""]          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Controls\FloatingStatusBar.xaml.cs,115,8,T:Windows.UI.Color,,,,,"return kind switch          {              StatusKind.Error => new SolidColorBrush(Color.FromArgb(255, 180, 40, 40)),              StatusKind.Success => new SolidColorBrush(Color.FromArgb(255, 40, 160, 80)),              StatusKind.Warning => new SolidColorBrush(Color.FromArgb(255, 200, 160, 40)),              _ => (Brush)Application.Current.Resources[""AcrylicBackgroundFillColorDefaultBrush""]          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Controls\FloatingStatusBar.xaml.cs,115,8,"M:Windows.UI.Color.FromArgb(System.Byte,System.Byte,System.Byte,System.Byte)",,,,,"return kind switch          {              StatusKind.Error => new SolidColorBrush(Color.FromArgb(255, 180, 40, 40)),              StatusKind.Success => new SolidColorBrush(Color.FromArgb(255, 40, 160, 80)),              StatusKind.Warning => new SolidColorBrush(Color.FromArgb(255, 200, 160, 40)),              _ => (Brush)Application.Current.Resources[""AcrylicBackgroundFillColorDefaultBrush""]          };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Pages\SysInfo\SysInfoPage.xaml.cs,24,8,P:System.Environment.OSVersion,,,,,this.ViewModel.OSVersion = Environment.OSVersion.VersionString;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Pages\SysInfo\SysInfoViewModel.cs,64,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,_timer = new DispatcherTimer          {              Interval = TimeSpan.FromSeconds(1)          };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Pages\SysInfo\SysInfoViewModel.cs,43,8,P:System.Environment.OSVersion,,,,,OSVersion = Environment.OSVersion.ToString();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Pages\SysInfo\SysInfoViewModel.cs,64,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,_timer = new DispatcherTimer          {              Interval = TimeSpan.FromSeconds(1)          };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Pages\SysInfo\SysInfoViewModel.cs,43,8,P:System.Environment.OSVersion,,,,,OSVersion = Environment.OSVersion.ToString();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Pages\GitHub\GitHubPage.xaml.cs,18,8,T:System.Uri,,,,,"GitHubView.Source = new Uri(""https://github.com/dahall/vanara"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Workbench\Pages\GitHub\GitHubPage.xaml.cs,18,8,M:System.Uri.#ctor(System.String),,,,,"GitHubView.Source = new Uri(""https://github.com/dahall/vanara"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Helpers\StatusColorConverter.cs,16,8,T:Windows.UI.Color,,,,,"return status switch          {              ""online"" or ""operational"" => new SolidColorBrush(Colors.LimeGreen),              ""warning"" or ""degraded"" => new SolidColorBrush(Colors.Gold),              ""error"" or ""outage"" => new SolidColorBrush(Colors.IndianRed),              ""pending"" or ""unknown"" => new SolidColorBrush(Colors.Gray),              _ => new SolidColorBrush(Colors.LightGray)          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Helpers\StatusColorConverter.cs,16,8,T:Windows.UI.Color,,,,,"return status switch          {              ""online"" or ""operational"" => new SolidColorBrush(Colors.LimeGreen),              ""warning"" or ""degraded"" => new SolidColorBrush(Colors.Gold),              ""error"" or ""outage"" => new SolidColorBrush(Colors.IndianRed),              ""pending"" or ""unknown"" => new SolidColorBrush(Colors.Gray),              _ => new SolidColorBrush(Colors.LightGray)          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Helpers\StatusColorConverter.cs,16,8,T:Windows.UI.Color,,,,,"return status switch          {              ""online"" or ""operational"" => new SolidColorBrush(Colors.LimeGreen),              ""warning"" or ""degraded"" => new SolidColorBrush(Colors.Gold),              ""error"" or ""outage"" => new SolidColorBrush(Colors.IndianRed),              ""pending"" or ""unknown"" => new SolidColorBrush(Colors.Gray),              _ => new SolidColorBrush(Colors.LightGray)          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Helpers\StatusColorConverter.cs,16,8,T:Windows.UI.Color,,,,,"return status switch          {              ""online"" or ""operational"" => new SolidColorBrush(Colors.LimeGreen),              ""warning"" or ""degraded"" => new SolidColorBrush(Colors.Gold),              ""error"" or ""outage"" => new SolidColorBrush(Colors.IndianRed),              ""pending"" or ""unknown"" => new SolidColorBrush(Colors.Gray),              _ => new SolidColorBrush(Colors.LightGray)          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Helpers\StatusColorConverter.cs,16,8,T:Windows.UI.Color,,,,,"return status switch          {              ""online"" or ""operational"" => new SolidColorBrush(Colors.LimeGreen),              ""warning"" or ""degraded"" => new SolidColorBrush(Colors.Gold),              ""error"" or ""outage"" => new SolidColorBrush(Colors.IndianRed),              ""pending"" or ""unknown"" => new SolidColorBrush(Colors.Gray),              _ => new SolidColorBrush(Colors.LightGray)          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Inspectors\GaugeControl.xaml.cs,97,8,T:Windows.Foundation.Point,,,,,"PathFigure pathFigure = new PathFigure          {              StartPoint = startPoint,              Segments = { arcSegment }          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Inspectors\GaugeControl.xaml.cs,89,8,T:Windows.Foundation.Size,,,,,"ArcSegment arcSegment = new ArcSegment          {              Point = endPoint,              Size = new Size(radius, radius),              IsLargeArc = isLargeArc,              SweepDirection = SweepDirection.Clockwise          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Inspectors\GaugeControl.xaml.cs,89,8,"M:Windows.Foundation.Size.#ctor(System.Double,System.Double)",,,,,"ArcSegment arcSegment = new ArcSegment          {              Point = endPoint,              Size = new Size(radius, radius),              IsLargeArc = isLargeArc,              SweepDirection = SweepDirection.Clockwise          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Inspectors\GaugeControl.xaml.cs,89,8,T:Windows.Foundation.Size,,,,,"ArcSegment arcSegment = new ArcSegment          {              Point = endPoint,              Size = new Size(radius, radius),              IsLargeArc = isLargeArc,              SweepDirection = SweepDirection.Clockwise          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Inspectors\GaugeControl.xaml.cs,89,8,T:Windows.Foundation.Point,,,,,"ArcSegment arcSegment = new ArcSegment          {              Point = endPoint,              Size = new Size(radius, radius),              IsLargeArc = isLargeArc,              SweepDirection = SweepDirection.Clockwise          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Inspectors\GaugeControl.xaml.cs,83,8,T:Windows.Foundation.Point,,,,,"Point endPoint = new Point(              100 + radius * Math.Cos(endRadians),              100 + radius * Math.Sin(endRadians)          );"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Inspectors\GaugeControl.xaml.cs,83,8,"M:Windows.Foundation.Point.#ctor(System.Double,System.Double)",,,,,"Point endPoint = new Point(              100 + radius * Math.Cos(endRadians),              100 + radius * Math.Sin(endRadians)          );"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Inspectors\GaugeControl.xaml.cs,79,8,T:Windows.Foundation.Point,,,,,"Point startPoint = new Point(              100 + radius * Math.Cos(startRadians),              100 + radius * Math.Sin(startRadians)          );"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Inspectors\GaugeControl.xaml.cs,79,8,"M:Windows.Foundation.Point.#ctor(System.Double,System.Double)",,,,,"Point startPoint = new Point(              100 + radius * Math.Cos(startRadians),              100 + radius * Math.Sin(startRadians)          );"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Inspectors\GaugeControl.xaml.cs,48,4,T:Windows.Foundation.Point,,,,,private static Point CalculateArcPoint(double v)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Inspectors\GaugeControl.xaml.cs,50,8,T:Windows.Foundation.Point,,,,,"return new Point(100, 100);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Inspectors\GaugeControl.xaml.cs,19,29,T:Windows.Foundation.Point,,,,,=> CalculateArcPoint(Percent * 1.8 - 90)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Inspectors\GaugeControl.xaml.cs,19,32,T:Windows.Foundation.Point,,,,,CalculateArcPoint(Percent * 1.8 - 90)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Controls\Inspectors\GaugeControl.xaml.cs,19,4,T:Windows.Foundation.Point,,,,,public Point ArcEndPoint
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Core\Navigation\NamespaceUri.cs,47,8,P:System.Uri.AbsolutePath,,,,,var path = u.AbsolutePath.Trim('/');
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Core\Navigation\NamespaceUri.cs,44,8,T:System.Uri,,,,,var u = new Uri(uri);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Vanara Jnana.csproj,File,Core\Navigation\NamespaceUri.cs,44,8,M:System.Uri.#ctor(System.String),,,,,var u = new Uri(uri);
